"","vsly_w2074","heat1_w2074","heat2_w2074","vsl11_w2074","vsly_w2044","heat1_w2044","heat2_w2044","vsl11_w2044","vsly_w4574","heat1_w4574","heat2_w4574","vsl11_w4574","vsly_c2064","heat1_c2064","heat2_c2064","vsl11_c2064","vsly_c2044","heat1_c2044","heat2_c2044","vsl11_c2044","vsly_c4564","heat1_c4564","heat2_c4564","vsl11_c4564"
"ISR",46.5041052901103,67.5333295625777,62.0427435720124,63.715936400622,18.6987274371119,67.5333295625777,11.760738233541,12.623830274275,83.2733430468525,67.5333295625777,128.534593420284,131.279046227226,60.4253662513731,59.2075326493126,57.695858931469,72.2345944512836,27.556019381007,59.2075326493126,17.3316142389025,18.6035393515631,109.396797595256,59.2075326493126,117.833799776648,152.138510494223
"ITA",45.8262626367524,58.5600350489347,67.6787244058233,68.2421958612807,14.1533706221508,58.5600350489347,11.1724702043303,10.2956286181921,69.7668938810313,58.5600350489347,110.390182336781,112.042345137168,56.952235819599,51.9856872960146,62.2590358038601,72.531416791969,20.8575988115907,51.9856872960146,16.4646929326974,15.1725053320725,88.0511201146747,51.9856872960146,101.715118157683,121.951449756618
"KAZ",29.5524801591526,49.0930827776975,42.7224564883113,35.0711330863383,17.7100523635867,49.0930827776975,14.7485205846985,11.6804575176969,48.1518273700149,49.0930827776975,86.6574464842409,71.8077975531205,41.8586528780377,49.9325269226987,47.1995506448636,45.9888706179009,26.0990245358121,49.9325269226987,21.7346619142925,17.2133058155534,67.9814373772939,49.9325269226987,89.409543555921,93.686561315469
"KGZ",4.77024936771406,8.70119248183578,6.75441299795472,5.30314474025112,2.99428563637002,8.70119248183578,2.29373554754648,1.91840032894424,8.33554636498241,8.70119248183578,15.7093480785756,12.0981140705204,6.81954814994971,8.56453690604263,7.41012630535961,7.12314527210281,4.41263146412425,8.56453690604263,3.38024185954218,2.82711627423362,11.8440112379367,8.56453690604263,15.8225511167812,16.0911495457168
"LTU",57.6090672587535,72.9617386356301,80.1610258039006,76.9436965918403,25.9135584469126,72.9617386356301,21.2200190067474,18.1007093876638,84.1702527911093,72.9617386356301,129.554238776023,126.254768065294,78.5773281006441,77.8922638067621,88.7612034361259,93.7716455074647,38.1884019217659,77.8922638067621,31.271606957312,26.6747296239257,116.795655696001,77.8922638067621,143.161169947273,157.262610840834
"LUX",106.079843968847,157.714605343492,160.661660245267,152.266307130384,26.443918339537,157.714605343492,25.7034510999108,19.717499176314,189.540611341174,157.714605343492,302.101790556514,291.181314882392,134.999110596776,137.137718527595,148.288292095261,170.157872845665,38.9699849214229,137.137718527595,37.8787700419739,29.0573672071997,246.164095875128,137.137718527595,276.100274213448,333.498271102501
"LVA",55.9818276970608,68.9557851807854,75.3646170043127,75.658997426139,24.9203621170846,68.9557851807854,17.098541437087,17.260194642333,82.8019523035207,68.9557851807854,125.674651571703,126.083635745184,75.6696092800594,70.5419594629037,80.196432476156,90.8559893787845,36.7247441725458,70.5419594629037,25.1978505388651,25.4360763150172,113.785069089676,70.5419594629037,134.023714548633,154.882660423783
"MDA",9.4811971197044,14.681856632322,14.4735326649083,13.2658133369191,3.72443456438544,14.681856632322,3.0057677454848,2.53668020835616,15.9966155196844,14.681856632322,27.4525787597696,25.4088869360005,13.0386838666733,14.2368710280747,15.0224419476977,16.5365035437864,5.48864041067329,14.2368710280747,4.42955246703024,3.73826557020909,22.2649523911184,14.2368710280747,27.9671148317643,32.1761460004316
"MKD",13.6484941152837,21.9535645305347,22.156221019339,20.6940514261842,4.20014982754326,21.9535645305347,2.95628011014262,2.76719062074276,23.7738132832205,21.9535645305347,42.7318397511192,39.9053737284201,17.9507692599836,18.3133877599791,19.6905241211623,23.556611835373,6.18969448269533,18.3133877599791,4.35662332021018,4.07796512530512,31.8812433024303,18.3133877599791,37.8528529152632,46.6282092458909
"MLT",33.6620205683962,46.7262637017056,50.6097822969885,53.8306746681697,7.64785761900102,46.7262637017056,9.81650145310875,5.66868997856482,56.9297338184203,46.7262637017056,87.09630554394,96.9079495929747,41.1631042666303,40.9058867132475,45.3438961046814,56.0298913972373,11.2705270174752,40.9058867132475,14.466423194055,8.35385891577974,72.701219221658,40.9058867132475,77.9211236237176,106.330411839727
"NLD",71.7696767368538,92.3608436533965,105.490230679119,109.458782530126,17.7144888383969,92.3608436533965,14.7792533402027,13.1200988180867,114.511296613955,92.3608436533965,177.215707230668,185.634105542884,90.2495431344861,80.6145973391117,96.0934252180241,119.358374087578,26.1055624986901,80.6145973391117,21.7799522908251,19.3348824687594,147.985682569056,80.6145973391117,162.983147250609,209.389741046646
"NOR",86.5840419440314,118.726261277883,125.287708825823,125.303022931649,32.3977576720139,118.726261277883,22.669126231813,22.0222864597252,138.596143893666,118.726261277883,223.788800965905,224.439700542614,108.903370319512,102.989402124763,113.033928243192,134.413440590568,47.7440639377047,102.989402124763,33.4071333942508,32.4538958353845,176.010558416942,102.989402124763,200.404610084555,246.288783085455
"POL",37.6791264868786,50.5903760178461,52.0591135279172,52.8338938060284,12.1022863342617,50.5903760178461,9.82693003624448,8.47289259031702,63.7913987471452,50.5903760178461,95.1753963407987,98.1235595571809,50.5692208444445,49.7419578024235,54.1402371224657,64.250279098373,17.8349482820699,49.7419578024235,14.4817916323603,12.4863680278356,87.6843280419622,49.7419578024235,99.1061807782303,122.941765358986
"PRT",37.5850816957862,47.5535830267579,53.0841342390757,52.4345381090558,14.8568897304325,47.5535830267579,10.4798387009359,10.6196581571624,56.2666473372327,47.5535830267579,88.1029753733209,86.8045146475019,49.5453312562799,45.6525485228656,52.737925157124,60.3161701263131,21.894363813269,45.6525485228656,15.4439728224318,15.6500225473972,75.648666835464,45.6525485228656,87.9445252470831,102.482341768763
"ROU",29.029512451187,36.1179549555853,39.733930719432,41.9956317983641,9.01480533602583,36.1179549555853,6.03566230730375,6.20057936101539,46.423916847907,36.1179549555853,69.0204601128974,73.1044366344535,38.686845565341,34.1980188756019,39.6796529100897,49.8523960471976,13.2849762846697,34.1980188756019,8.89466024234238,9.13769590044375,63.3940057615549,34.1980188756019,69.6227148586868,89.4536004999778
