"","vsly_w2074","heat1_w2074","heat2_w2074","vsl55_w2074","vsly_w2044","heat1_w2044","heat2_w2044","vsl55_w2044","vsly_w4574","heat1_w4574","heat2_w4574","vsl55_w4574","vsly_c2064","heat1_c2064","heat2_c2064","vsl55_c2064","vsly_c2044","heat1_c2044","heat2_c2044","vsl55_c2044","vsly_c4564","heat1_c4564","heat2_c4564","vsl55_c4564"
"CZE",45.4874933110511,68.6387433061765,68.6387433061765,68.6497544721893,14.0060119988642,68.6387433061765,9.56200251884054,9.56203312604353,74.2727397333074,68.6387433061765,122.655850205429,122.664657584174,46.638290680687,51.5518386529986,51.5518386529986,51.5569012564457,20.6404387351683,51.5518386529986,14.0913721330282,14.09141723838,81.2121980738993,51.5518386529986,101.369596792484,101.372517362827
"DEU",78.272854198338,112.89945783729,112.89945783729,112.902076158679,22.5734698441289,112.89945783729,15.3955294265747,15.3955800610312,121.7808811719,112.89945783729,189.0619432311,189.064809428578,87.1558565416888,96.9818395611354,96.9818395611354,96.9827605051496,33.2661660860847,96.9818395611354,22.6881486286364,22.6882232478354,143.183630463606,96.9818395611354,174.223146464169,174.223947695502
"DNK",99.3373012699313,151.028218983759,151.028218983759,151.074256269612,26.9368120655245,151.028218983759,18.3616295563164,18.3623463215145,160.350659043535,151.028218983759,262.829039313681,262.869998231339,102.273971372193,114.560801700456,114.560801700456,114.58227184792,39.6963546228783,114.560801700456,27.0592435566769,27.060299842232,177.451914595705,114.560801700456,219.681250701479,219.697812329557
"ESP",40.8335159275661,57.6095830316063,57.6095830316064,57.6122871286258,12.1783246795545,57.6095830316063,8.73389807184701,8.73390194102966,66.3319033082847,57.6095830316063,101.100870101218,101.103761784033,45.163560412586,49.3810424852212,49.3810424852212,49.3821390372994,17.9470047909224,49.3810424852212,12.8710076848272,12.8710133867806,77.5797012711985,49.3810424852212,92.8661346950664,92.8671307234672
"EST",49.6418308699337,63.7893211425426,63.7893211425428,63.8793172936891,21.6732810579236,63.7893211425426,14.0841021847159,14.0858148560518,75.7552280733445,63.7893211425426,110.197595238001,110.279259538204,58.9940403144298,59.7529081246564,59.7529081246565,59.7924231452136,31.9395720853611,59.7529081246564,20.7555190090551,20.7580429457606,93.6529153980619,59.7529081246564,109.711592453672,109.731273661707
"FIN",80.5401975033799,116.754694483319,116.754694483319,116.783515494615,28.4500933231046,116.754694483319,19.0772475481011,19.0779258357483,122.954321921491,116.754694483319,196.288100153153,196.309576871285,86.1963389422365,92.910337255023,92.9103372550229,92.9235399357615,41.9264533182594,92.910337255023,28.1138384919385,28.1148380737343,139.319235262919,92.910337255023,170.664721239025,170.669570203163
"FRA",63.749064196859,86.5596772982188,86.5596772982188,86.5620642769838,21.7320011596151,86.5596772982188,15.1143795353403,15.1144259521296,99.4547318669228,86.5596772982188,147.273155921151,147.275359306387,72.5049855822918,77.8481253461332,77.8481253461331,77.8492026797642,32.0261069720644,77.8481253461332,22.2738224731331,22.2738908768226,120.263793035677,77.8481253461332,143.417195473415,143.417872411963
"GBR",80.7379181707424,115.437705900823,115.437705900823,115.441519265008,29.8540300564946,115.437705900823,20.4958413848229,20.4959328942282,128.572424484258,115.437705900823,204.689871682862,204.693649344009,87.5824917372312,92.5220221461097,92.5220221461096,92.5236167425017,43.9954127148342,92.5220221461097,30.2043978302654,30.2045326862311,144.196975305505,92.5220221461097,173.465278656378,173.466521222191
"GEO",8.24395077859147,23.7769758892282,23.7769758892281,23.7943996251206,3.66374088266859,23.7769758892282,5.21079691756101,5.21119039339776,12.9085014721047,23.7769758892282,42.6850357742722,42.7046635494751,10.2957262258448,23.5771332195605,23.5771332195604,23.5831717401796,5.39919709024846,23.5771332195605,7.67906914166886,7.6796490007967,16.7653782840297,23.5771332195605,44.5828170691595,44.5854923569108
"GRC",39.4231366772467,55.8010110758194,55.8010110758193,55.8109283078481,13.5707979182622,55.8010110758194,9.40138627252287,9.40144133627305,61.0516596759107,55.8010110758194,94.6197563175322,94.6297470177985,43.9070868642946,47.4075712633277,47.4075712633277,47.4115754323711,19.9990706163864,47.4075712633277,13.8546745068758,13.854755653455,71.3361855388146,47.4075712633277,85.9020120569765,85.9052480375146
