"","vsly_w2074","heat1_w2074","heat2_w2074","vsl55_w2074","vsly_w2044","heat1_w2044","heat2_w2044","vsl55_w2044","vsly_w4574","heat1_w4574","heat2_w4574","vsl55_w4574","vsly_c2064","heat1_c2064","heat2_c2064","vsl55_c2064","vsly_c2044","heat1_c2044","heat2_c2044","vsl55_c2044","vsly_c4564","heat1_c4564","heat2_c4564","vsl55_c4564"
"GEO",16.0151837762312,20.0845818299022,20.6841063906267,50.0278703252376,6.93632564231238,20.0845818299022,4.02199553777083,10.4631444603675,25.261221614492,20.0845818299022,37.6530363087223,90.3211480712906,19.7868814616022,18.5484379512124,18.9764948356065,48.8934619908958,10.2219535781446,18.5484379512124,5.92715131882018,15.4193707836995,32.4247630413808,18.5484379512124,36.2182409384932,93.1218770737633
"GRC",77.5475416132797,44.4727206059292,49.3000319064969,113.139423559337,26.5777813243521,44.4727206059292,9.99270119443598,18.7550660825659,120.189742882685,44.4727206059292,82.1852387052993,192.103043270184,86.1591497740745,42.0181087613619,45.2302394645918,95.6338070734557,39.1672566885189,42.0181087613619,14.7260859707478,27.639044753255,140.071831570038,42.0181087613619,80.2269295910071,173.642581439856
"HRV",61.0748814000828,43.407115989506,48.4732855139528,96.1923647411532,16.6180564498922,43.407115989506,7.24487204826735,11.4650618452289,98.2616248926284,43.407115989506,82.9595637821557,167.064103403013,66.0567001419221,39.4846800268691,42.9204850626075,78.7694471513981,24.4897673998412,39.4846800268691,10.6766535448151,16.8958806140216,113.620229700434,39.4846800268691,79.8159289240114,149.56911931272
"HUN",89.2433060397432,60.9307432719466,66.0451419014433,135.146288728213,21.8531346292284,60.9307432719466,8.66365184223408,15.1232822097636,150.375272149521,60.9307432719466,118.097885383274,244.023328410807,98.8206608133772,59.7270613022853,62.4210120094697,117.158560872919,32.2046194535998,59.7270613022853,12.7674869253976,22.2869422038622,183.408928320016,59.7270613022853,125.470475422874,237.625428836819
"IRL",160.740763166244,127.934783424453,128.050141487664,230.471421724313,61.7147858449829,127.934783424453,26.1208175906936,42.9107073502733,268.815781988864,127.934783424453,239.293816094416,435.171524512454,174.658964969221,110.637064041116,109.030595536137,185.796406534341,90.9481054557644,110.637064041116,38.4938364494432,63.2368318846134,296.429750091413,110.637064041116,211.637552194861,364.078838659414
"ISL",125.00396212159,92.4880295408009,92.8368711938874,180.090899157709,49.1396948161336,92.4880295408009,19.6048175766959,34.0659051169044,207.223859967282,92.4880295408009,172.204038126277,338.349332533353,136.666452219587,78.1378990633866,77.2408136925195,146.491352341049,72.416392360618,78.1378990633866,28.8913101130256,50.2023864880697,229.477570613947,78.1378990633866,147.083106616056,285.583621351654
"ISR",82.6105104733244,67.5333295625777,62.0427435720124,115.726765457974,30.5634052982134,67.5333295625777,11.760738233541,21.2356451608057,151.436490643468,67.5333295625777,128.534593420284,240.679804631756,89.723014221987,59.2075326493126,53.2234716212792,95.4372009362145,45.0408078078935,59.2075326493126,17.3316142389025,31.2946349738189,170.157191488556,59.2075326493126,117.833799776648,210.902728156119
"ITA",87.7183490711292,58.5600350489347,67.6787244058233,133.299707156306,26.6676818370616,58.5600350489347,11.1724702043303,19.1852883858871,133.864798558413,58.5600350489347,110.390182336781,219.555525481275,91.3907519499338,51.9856872960146,58.2899558510422,102.682062757248,39.2997416546172,51.9856872960146,16.4646929326974,28.2730565686758,145.474346862588,51.9856872960146,101.715118157683,179.937361238524
"KAZ",60.5569570553845,49.0930827776975,42.7224564883113,67.5261981193653,35.9789136997159,49.0930827776975,14.7485205846985,22.6220739206333,99.1584642823803,49.0930827776975,86.6574464842409,138.051213056304,79.4213869407524,49.9325269226987,45.1772795896617,74.3053579695973,53.0215570311603,49.9325269226987,21.7346619142925,33.3377931461965,129.233411408154,49.9325269226987,89.409543555921,151.604240134427
"KGZ",9.03918433495969,8.70119248183578,6.75441299795472,9.96686764104354,5.07081478642221,8.70119248183578,2.29373554754648,3.20509773172548,17.0057974958852,8.70119248183578,15.7093480785756,23.5413103666653,11.8942702649095,8.56453690604263,7.13354528405554,11.2120562710581,7.47277968525379,8.56453690604263,3.38024185954218,4.72330192043756,22.1301486607393,8.56453690604263,15.8225511167812,26.2337100045223
