"","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84"
"CYP",54339.2541529048,69285.4099357315,62931.6854973681,68234.1094393491,87465.1130910794,113422.608885427,117726.471025527,110921.971026609,92009.0418956735,84654.8552149035,77136.9259647519,74056.0850491244,65049.7880385676,57606.1833541642,45588.5397445993,32528.2562351442,21666.860808166
"CZE",440722.642186132,589192.545469066,522286.10832474,460767.758286164,521688.223220144,674499.325115352,721588.406149663,815902.482620647,936493.590582245,741397.012232877,701045.216968671,618580.665710673,698763.203466423,685231.445748316,568929.406587236,360041.199382964,226864.484479013
"DNK",236030.441840357,327062.547383671,334048.829288435,347966.220293973,388573.771103811,371950.705015999,328998.988395627,342189.493638449,387019.386364642,393262.672475532,419064.694462632,361933.646201558,339639.617082207,332159.379541988,312108.566429191,200414.280596235,130009.958226118
"EST",56197.1425157149,76715.3394345132,66542.2368377719,59562.749041388,70192.1171630856,96550.0122251651,95188.9983423747,89973.9024466487,90336.6523191279,87804.5129367645,84631.3250919465,89142.4543320999,83632.3793588607,75729.0252122541,52719.7978285746,56609.4084458626,37143.9013316799
"FIN",229651.055478469,309837.377607774,301662.51003512,295545.029337358,327475.665528605,353762.944961748,351707.488873754,350438.787475673,333119.252428774,327881.423596992,370202.648898755,364918.749078205,367443.317126455,369943.562047327,307702.371575996,207146.138491073,148739.365549733
"FRA",3076265.06875418,4070487.30616308,4079907.80139383,4058002.39705976,3786056.72416383,3865449.48953057,4022768.22568842,4103500.54023673,4254676.10488052,4440827.352032,4390140.05947534,4174551.26478632,3973363.31330088,3824936.88307524,2769602.79768434,2146809.78469319,1865711.20490317
"GEO",208193.49045409,248259.739799432,209287.025700628,206632.293349923,227002.694197572,277017.229788218,271469.094828528,253189.518124169,241882.584440162,235045.438697119,245098.75379525,258032.926054427,223441.758857235,187827.533685183,98141.4068770804,128877.861595214,73215.9906999744
"DEU",2903764.04784149,3699539.23793386,3870766.70857282,4207480.09613417,4684731.39457837,5466940.35736456,5373534.10191388,5182577.6040576,5041628.13781786,6287686.63668896,6975028.91597445,6262815.67023236,5241253.590683,4534670.75406814,3663182.75614913,4125436.41535523,2778747.59694061
"GRC",364526.096613001,521206.010081655,516152.959765575,505043.174645949,510553.893143369,559775.313427416,646978.706218306,780985.297995057,792359.735016387,797898.236937902,733954.9972177,702500.010151252,633877.499545807,563107.514942457,501943.48671939,454663.327802114,395448.403622508
"HUN",360198.610884758,468480.618063711,486741.606197586,489392.825734293,561312.247680286,602370.825823316,608627.896324366,740577.642866377,839950.866541999,708597.108675589,594682.25993705,608119.587419085,729072.352876136,597261.346296667,458343.90827345,348636.36324285,237796.203788123
"ISL",17364.548999189,23581.7833937629,21654.537466622,21874.3689233008,24977.9342404867,25418.6416148345,23136.4909564005,23012.4947923863,22167.9892942041,20442.8115347066,22003.6995337592,21097.9407099461,18637.0032373368,15569.4909103478,11786.0006538182,7837.54079551215,6134.66588023796
"IRL",268394.119268889,366736.53393199,330601.693305205,313016.495675542,280184.631944897,295568.467758325,352083.87101509,399922.700823747,365569.7452058,337242.873649629,306545.681840109,276085.319804428,244198.942115545,215117.212539485,172358.165434538,118447.543475138,83508.398038923
"ISR",713125.67897858,832111.448531061,749792.708116516,700746.680282411,638685.153191831,612480.341885242,615098.298217618,598532.73444718,580619.688134114,497674.03688478,419727.974594141,394799.415976479,379565.935610003,352298.722349683,258917.434730178,167095.641330661,131641.07289147
"ITA",2031597.29734798,2825440.74281465,2857583.32053999,2888055.9463975,3004674.47675586,3251297.2850631,3463662.96751604,3931437.74269837,4685000.68167788,4902403.63270638,4851420.2246543,4200870.91017747,3705828.29806472,3621073.35296347,2976597.0703006,2799735.32466628,2070108.78449604
"KAZ",1527637.77087506,1670806.82406859,1320625.92286286,1158228.33887665,1366482.87083976,1625110.02536272,1497514.17568397,1273008.41411831,1179076.59562932,1062296.59015492,1007005.69622817,915381.415981556,694072.426988602,508799.276988198,231984.973758458,292238.739577093,130008.692604278
"KGZ",623046.640360151,701254.339895151,554057.938863868,534635.73905581,598096.893800212,608094.493900019,498022.729822604,394988.406477529,355806.606698649,326278.768679705,298908.883630414,257249.489066723,178028.734104535,115580.666618046,46854.99445712,60556.9484218383,35430.9859785668
"LVA",82984.7218262541,101459.723478989,95057.7172304187,85810.9384908438,102325.014264506,136690.290130131,138177.072033011,124897.541699692,132004.274085457,133656.130032628,135852.139919213,144518.995467653,123400.874897599,110464.155998713,86477.7043789919,89973.2391950715,55766.9431571097
"LTU",116828.379223811,142329.807440511,129461.105268796,153286.177401512,183064.223973544,194350.79283122,180676.136858962,168432.980696774,185955.55492633,204392.936066139,212763.599097471,222900.917702346,173089.43511678,151156.814694435,124559.894814945,119129.666618459,87969.3102771823
"LUX",25785.7236356458,32275.0379756569,31566.1192630112,33224.6943692638,36984.3443454497,43155.669527878,45445.0099621117,46107.5301789274,44344.580027413,46264.543307672,45094.1315996897,38399.188143823,31347.5591884621,25516.804565805,19514.3530677028,15872.9033399255,11842.0472201886
"MKD",93727.0922845479,113439.018161909,114291.643440702,129309.390991147,153085.636703131,168733.882075253,173053.075120995,166954.881041368,156251.057860935,151760.340221411,150956.542861137,144431.242579474,132695.297615046,110835.355396061,72703.3433242025,56839.0940980727,38271.5748657564
"MLT",17232.5630710503,20836.5899640935,19885.4846145936,21858.564662726,26438.3503738762,30947.7895021154,31015.8918749935,31302.5276299635,30173.7156725432,26415.2266338236,26404.8912080402,30527.0964702513,29530.0394554895,29180.9485502988,25511.2458663432,13579.4628964106,10831.0460570353
"MDA",154550.869527602,208789.138393176,202632.008203374,198823.199760836,234387.410775045,301735.290381103,333585.731069355,295567.598642617,272531.379786252,236030.935691809,249013.591167437,275578.19194708,232182.214068937,183782.156806509,93801.9099626147,102852.646458018,60989.4315403864
"MNE",29295.8619414964,37192.4977271321,39218.087865635,41628.9003296834,41845.4231178373,41637.0227267251,45031.9488564324,44892.7962771193,42891.3403438089,41001.1098393099,42439.5845900683,42445.2322046531,39559.0651201962,32453.6534072305,19702.7688421641,19193.2419645273,11656.9777849556
