"","DisplayString","age","All","Female","Male","perc_fmle","ISO_Code"
"1353","Spain",37,747007.755783993,368804.70943082,378203.046353173,0.493709344481645,"ESP"
"1354","Spain",38,782343.806461753,384391.336070434,397952.470391319,0.491333008449177,"ESP"
"1355","Spain",39,793648.841741856,388608.201278193,405040.640463663,0.489647537852254,"ESP"
"1356","Spain",40,808469.159653043,396950.216860326,411518.942792716,0.490989930934012,"ESP"
"1357","Spain",41,803062.245587448,393421.809170141,409640.436417307,0.489902011122873,"ESP"
"1358","Spain",42,797353.32860155,391622.551280096,405730.777321454,0.491153090145054,"ESP"
"1359","Spain",43,776942.022932504,381541.197190038,395400.825742466,0.491080654576955,"ESP"
"1360","Spain",44,773381.151903085,380264.254877003,393116.897026082,0.491690615864214,"ESP"
"1361","Spain",45,759847.256587933,374651.474759094,385195.781828839,0.493061561400449,"ESP"
"1362","Spain",46,750608.542362876,370368.421775059,380240.120587817,0.493424202992893,"ESP"
"1363","Spain",47,742252.582171675,368164.693769557,374087.888402118,0.496009987183048,"ESP"
"1364","Spain",48,737016.513615938,366299.129622255,370717.383993682,0.497002608293163,"ESP"
"1365","Spain",49,740283.974930192,369349.395048834,370934.579881358,0.498929340032875,"ESP"
"1366","Spain",50,720609.777145883,359754.385261476,360855.391884407,0.499236059058696,"ESP"
"1367","Spain",51,714584.823747931,358411.977709536,356172.846038395,0.501566736093972,"ESP"
"1368","Spain",52,722580.284744084,363309.9168549,359270.367889184,0.502795225008905,"ESP"
"1369","Spain",53,686817.417080384,345544.013891198,341273.403189186,0.503108985441987,"ESP"
"1370","Spain",54,663329.011650489,335029.998724861,328299.012925628,0.50507364044163,"ESP"
"1371","Spain",55,646191.857743339,327590.421635263,318601.436108075,0.506955353444547,"ESP"
"1372","Spain",56,648596.626259127,329204.448976411,319392.177282716,0.507564232757645,"ESP"
"1373","Spain",57,629159.380165392,320045.536850766,309113.843314626,0.508687539183844,"ESP"
"1374","Spain",58,614082.070215038,313154.180169202,300927.890045836,0.50995493169104,"ESP"
"1375","Spain",59,597105.709728836,305615.731738873,291489.977989963,0.511828520075051,"ESP"
"1376","Spain",60,555680.191986605,285035.135080461,270645.056906144,0.512948165493241,"ESP"
"1377","Spain",61,537601.582799194,276401.008167375,261200.574631819,0.51413726635291,"ESP"
"1378","Spain",62,511353.847001745,264560.865834312,246792.981167433,0.517373375375054,"ESP"
"1379","Spain",63,510319.575252236,263498.502027916,246821.07322432,0.516340181341616,"ESP"
"1380","Spain",64,506737.298717675,261716.313490123,245020.985227552,0.51647335641645,"ESP"
"1381","Spain",65,472649.394757165,245808.883500024,226840.511257141,0.520066007122075,"ESP"
"1382","Spain",66,460830.541403437,240437.067810246,220393.473593191,0.521747250253871,"ESP"
"1383","Spain",67,476291.161227086,250665.516848572,225625.644378514,0.526286308153973,"ESP"
"1384","Spain",68,495924.876437646,261603.075990371,234321.800447274,0.527505451772317,"ESP"
"1385","Spain",69,450884.593042508,238798.526978987,212086.066063521,0.529622281763071,"ESP"
"1386","Spain",70,427538.264672933,228292.495948032,199245.7687249,0.533969739814227,"ESP"
"1387","Spain",71,443607.214826103,237916.046592195,205691.168233908,0.53632140921211,"ESP"
"1388","Spain",72,417497.114778373,225122.01942176,192375.095356613,0.539218144157153,"ESP"
"1389","Spain",73,406623.708494232,220222.256275062,186401.452219171,0.541587348879796,"ESP"
"1390","Spain",74,346893.619031432,188932.925049212,157960.69398222,0.544642261154111,"ESP"
"1391","Spain",75,314708.740615985,172558.295972933,142150.444643053,0.548311100718657,"ESP"
"1392","Spain",76,379457.567715818,210711.218385412,168746.349330405,0.555295865236814,"ESP"
"1393","Spain",77,249240.053976184,141319.206197322,107920.847778862,0.567000383537173,"ESP"
"1394","Spain",78,276250.25512282,157488.681576052,118761.573546768,0.570094248441628,"ESP"
"1395","Spain",79,301300.45065014,173485.18038658,127815.27026356,0.575787988409036,"ESP"
"1396","Spain",80,321096.13354191,188584.966290497,132511.167251413,0.587316216518324,"ESP"
"1397","Spain",81,300014.756614626,176811.402922953,123203.353691673,0.58934235408317,"ESP"
"1398","Spain",82,285150.91166964,170412.23587779,114738.67579185,0.597621220566954,"ESP"
"1399","Spain",83,277870.83245638,168338.174568813,109532.657887568,0.605814482508662,"ESP"
"1400","Spain",84,258372.445385583,158679.558994586,99692.8863909972,0.614150470874632,"ESP"
"1401","Spain",85,228465.538254103,142122.252687973,86343.28556613,0.622073043374718,"ESP"
"1402","Spain",86,211684.534565135,134898.455802206,76786.0787629292,0.637261744601838,"ESP"
"1403","Spain",87,181074.504581476,117150.909947483,63923.5946339925,0.646976283150729,"ESP"
"1404","Spain",88,160436.708657052,105926.697679369,54510.0109776826,0.660239782815521,"ESP"
"1405","Spain",89,132098.560438591,88598.8481779368,43499.7122606545,0.670702601782886,"ESP"
"1406","Spain",90,114347.548868619,78152.4864831444,36195.0623854748,0.683464466500621,"ESP"
"1407","Spain",91,92246.2205881887,64279.6408309224,27966.5797572663,0.696826823050925,"ESP"
"1408","Spain",92,75274.9408330973,53394.0470378188,21880.8937952785,0.709320345481324,"ESP"
"1409","Spain",93,59205.4195731268,42472.5189195031,16732.9006536237,0.717375524499809,"ESP"
"1410","Spain",94,46567.4511149137,34315.1217512018,12252.3293637118,0.736890702188594,"ESP"
"1411","Estonia",1,13947.6151949167,6780.60825211525,7167.00694280149,0.486148216548625,"EST"
"1412","Estonia",2,13971.3585904831,6797.89733968061,7173.46125080246,0.486559506411291,"EST"
"1413","Estonia",3,14010.8644744815,6820.50277277076,7190.36170171078,0.486800995412752,"EST"
"1414","Estonia",4,14267.3042558335,6949.17302973815,7318.13122609536,0.48706979995165,"EST"
"1415","Estonia",5,14753.8800396914,7193.22414684402,7560.65589284739,0.48754796212878,"EST"
"1416","Estonia",6,15319.9402362588,7479.17710080424,7840.76313545455,0.488198843171903,"EST"
"1417","Estonia",7,15669.6385632611,7646.47326577669,8023.16529748438,0.487980193985109,"EST"
"1418","Estonia",8,15688.8148517188,7631.75578107744,8057.05907064133,0.486445652728277,"EST"
"1419","Estonia",9,15283.0657435832,7413.86578860889,7869.19995497427,0.485103310618271,"EST"
"1420","Estonia",10,14523.5906626546,7028.54868297839,7495.04197967623,0.48394015269594,"EST"
"1421","Estonia",11,13756.1078342751,6656.87982094239,7099.22801333276,0.483921753241562,"EST"
"1422","Estonia",12,13257.5988073318,6446.54805296496,6811.05075436681,0.486253064876262,"EST"
"1423","Estonia",13,12698.1197361091,6229.06074128791,6469.05899482123,0.490549850744799,"EST"
"1424","Estonia",14,12306.8197974012,6041.49997944381,6265.31981795742,0.490906674421249,"EST"
"1425","Estonia",15,12101.675989332,5893.05924722146,6208.61674211058,0.486962239975386,"EST"
"1426","Estonia",16,12178.2169861779,5897.35211246586,6280.86487371201,0.484254149779009,"EST"
"1427","Estonia",17,11791.5109820484,5701.47027720708,6090.04070484132,0.483523297895163,"EST"
"1428","Estonia",18,11633.3564615422,5612.38471097677,6020.97175056542,0.482438987366227,"EST"
"1429","Estonia",19,11857.9886222875,5728.34477232509,6129.6438499624,0.483078956709274,"EST"
"1430","Estonia",20,12693.0809201636,6215.79515935727,6477.2857608063,0.489699482612071,"EST"
"1431","Estonia",21,13112.2691579248,6454.01951722177,6658.249640703,0.492212250945221,"EST"
"1432","Estonia",22,13645.346112883,6677.69861883531,6967.6474940477,0.489375539732971,"EST"
"1433","Estonia",23,14641.8181139157,7091.74254859536,7550.07556532035,0.484348493706209,"EST"
"1434","Estonia",24,16099.6028581986,7827.72449609765,8271.87836210091,0.486206061419176,"EST"
"1435","Estonia",25,16867.5175237266,8145.91124669281,8721.60627703378,0.482934802660463,"EST"
"1436","Estonia",26,18482.6996097076,8781.02163641854,9701.67797328907,0.475094105398246,"EST"
"1437","Estonia",27,20220.6956171716,9560.13791243785,10660.5577047337,0.472789764181965,"EST"
"1438","Estonia",28,20733.5105001311,9909.48740319733,10824.0230969338,0.477945469154134,"EST"
