"","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79"
"KAZ",0,0,0,0.000507223580342613,0.001,0.0014939789485433,0.00199081808188499,0.0034697785085479,0.00492831021615524,0.00589192448046436,0.00828800666879851,0.0130222202458511,0.0201934245167462,0.0300520300758854,0.0462341417154588,0.064339762786696
"KGZ",0.001,0,0,0.000507162171303221,0.001,0.00150276606528671,0.00150213862335762,0.00299266814610036,0.00394746940519038,0.00493991441421096,0.00731467953963677,0.0111760036221736,0.0177796016670396,0.0292098347214081,0.0429059168546609,0.0668512014328184
"LVA",0,0,0,0.000511477316699066,0.000514944087536858,0.00102838375776133,0.00202259716136149,0.00250196610897268,0.00347903516496503,0.00492495491658646,0.00776519904244202,0.0109959523330824,0.0162430611511282,0.0220516711609282,0.0322133033367808,0.0444970363876458
"LTU",0,0,0,0.000514509209495752,0.000512146938890036,0.0010296003616856,0.00201590523050594,0.00249520386351995,0.00393367574709611,0.00538400787252043,0.00776913815744413,0.0099893413983647,0.0167242341801691,0.0225012802761074,0.0304116237207796,0.0431600054276856
"LUX",0,0,0,0,0,0,0.000501692948151845,0.000502300985370869,0.001,0.0015154046789331,0.0030466515570909,0.00454810675775461,0.00700788754135739,0.0115022805634063,0.0193263344774527,0.0321567708040564
"MLT",0,0,0,0,0,0,0.00052281706240972,0.000515239761458027,0.001,0.00150920967830045,0.00250345133892722,0.00399581529728638,0.00699583330310211,0.0109553418613452,0.0172742016127448,0.0335850928100637
"NLD",0,0,0,0,0,0,0.000503202367551125,0.001,0.001,0.00150135218646179,0.003,0.00450016005806166,0.0074950635924301,0.0119833535003804,0.0188903325686742,0.0329303480258091
"NOR",0,0,0,0,0.000516684759347563,0.000508609548825953,0.000515397429810282,0.00051690174110819,0.001,0.00151348267219751,0.00251468048000158,0.0040199712850303,0.00650588615228723,0.0105001177007205,0.01741034784029,0.0305215430506353
"POL",0,0,0,0.000512595358855711,0.00050985372066167,0.000508996649005251,0.000507151318890054,0.00150626754122231,0.00200988336237491,0.00350452601066466,0.00548035411491403,0.00887131384248447,0.0141483825116498,0.0186875561384684,0.0281912746883724,0.0401651184501898
"PRT",0,0,0,0,0.00050689109048547,0.000497356055095029,0.000489536843983136,0.001,0.00148231442149444,0.00196141782832767,0.003904402098872,0.00536744396800289,0.00728135199488884,0.0107173664238861,0.0163638536031048,0.0302894887200057
"MDA",0.001,0,0,0.000514451834663458,0.000511293310208913,0.000510488959445109,0.00151124330862625,0.00201639937885925,0.00399794436024276,0.0059063503265152,0.00867376519661324,0.0123525956098443,0.0197229074238839,0.031638449450897,0.047452018007825,0.0770710173275638
"ROU",0,0,0,0.000513673705376489,0.000514289495084602,0.000515290611975895,0.001,0.0015095092648556,0.002026104094775,0.00404663258025056,0.00703532155073378,0.0113347651652366,0.0154775613356815,0.022982477848179,0.0342255117578782,0.0541396610656744
