"","age","DisplayString","dlyr_m","dlyr_f","ISO_Code"
"4528",59,"Russian Federation",16.5386173495742,22.0238530342786,"RUS"
"4529",60,"Russian Federation",15.92899908663,21.2033889042465,"RUS"
"4530",61,"Russian Federation",15.3433226300518,20.3913079940168,"RUS"
"4531",62,"Russian Federation",14.7777948355484,19.5878824544926,"RUS"
"4532",63,"Russian Federation",14.2266019897431,18.7930107855455,"RUS"
"4533",64,"Russian Federation",13.6833140057586,18.0064422796676,"RUS"
"4534",65,"Russian Federation",13.1419704793752,17.2280208064007,"RUS"
"4535",66,"Russian Federation",12.597391052491,16.4576622828559,"RUS"
"4536",67,"Russian Federation",12.0544439086948,15.6973473441324,"RUS"
"4537",68,"Russian Federation",11.5181009354205,14.9485611853868,"RUS"
"4538",69,"Russian Federation",10.9950426014977,14.212794634223,"RUS"
"4539",70,"Russian Federation",10.4909292403481,13.4909573419213,"RUS"
"4540",71,"Russian Federation",10.0118717094627,12.7841053578988,"RUS"
"4541",72,"Russian Federation",9.55124652551755,12.0914874480022,"RUS"
"4542",73,"Russian Federation",9.10829195358878,11.4158598315794,"RUS"
"4543",74,"Russian Federation",8.69028870681064,10.7643853230947,"RUS"
"4544",75,"Russian Federation",8.29310139710266,10.1365043551202,"RUS"
"4545",76,"Russian Federation",7.90956645260719,9.53082673943097,"RUS"
"4546",77,"Russian Federation",7.5369509289867,8.94713870559576,"RUS"
"4547",78,"Russian Federation",7.17658566735062,8.38479457450073,"RUS"
"4548",79,"Russian Federation",6.8306511317597,7.8445192409775,"RUS"
"4549",80,"Russian Federation",6.49463387283595,7.32503776509153,"RUS"
"4550",81,"Russian Federation",6.17744516830429,6.83004232713227,"RUS"
"4551",82,"Russian Federation",5.87526729423902,6.35800000372343,"RUS"
"4552",83,"Russian Federation",5.58332346289365,5.90572079894883,"RUS"
"4553",84,"Russian Federation",5.29761881020333,5.47401388786886,"RUS"
"4554",85,"Russian Federation",5.01097233452695,5.0643971199966,"RUS"
"4555",86,"Russian Federation",4.71536853659629,4.67708364428447,"RUS"
"4556",87,"Russian Federation",4.41187666880443,4.31338300101984,"RUS"
"4557",88,"Russian Federation",4.10120721778981,3.97160171506509,"RUS"
"4558",89,"Russian Federation",3.78944941806968,3.65200277577784,"RUS"
"4559",90,"Russian Federation",3.48195910686788,3.35198017638052,"RUS"
"4560",91,"Russian Federation",3.19143410923121,3.07118859364912,"RUS"
"4561",92,"Russian Federation",2.92304927692088,2.81108019823155,"RUS"
"4562",93,"Russian Federation",2.68287622926349,2.57679883117106,"RUS"
"4563",94,"Russian Federation",2.47233690358817,2.37169573821006,"RUS"
"4564",95,"Russian Federation",2.28646110175249,2.19499267891789,"RUS"
"4565",96,"Russian Federation",2.11265126475093,2.03096477345604,"RUS"
"4566",97,"Russian Federation",1.94267169147575,1.87737274624672,"RUS"
"4567",98,"Russian Federation",1.77084736085552,1.73202625509048,"RUS"
"4568",99,"Russian Federation",1.59053274205744,1.59394943252881,"RUS"
"4569",100,"Russian Federation",1.40666947399768,1.48046051725323,"RUS"
"4570",101,"Russian Federation",1.32139017054888,1.37890625599956,"RUS"
"4571",102,"Russian Federation",1.24223672835701,1.28550465945648,"RUS"
"4572",103,"Russian Federation",1.16727438147314,1.19809136367319,"RUS"
"4573",104,"Russian Federation",1.0933563888548,1.11327942642772,"RUS"
"4574",105,"Russian Federation",1.01481123496111,1.02510912580808,"RUS"
"4575",106,"Russian Federation",0.941290624894216,0.945128306640459,"RUS"
"4576",107,"Russian Federation",0.849242386834057,0.848474089445698,"RUS"
"4577",108,"Russian Federation",0.712160829509908,0.70904230563744,"RUS"
"4578",109,"Russian Federation",0.472208223,0.469473535,"RUS"
"4579",1,"Serbia",72.4530876583131,76.6544137002277,"SRB"
"4580",2,"Serbia",71.4707705263215,75.6725851028971,"SRB"
"4581",3,"Serbia",70.4819217061076,74.682802281205,"SRB"
"4582",4,"Serbia",69.4909445470096,73.6906447989089,"SRB"
"4583",5,"Serbia",68.4985893918428,72.6972628131095,"SRB"
"4584",6,"Serbia",67.5057139860973,71.7037407164074,"SRB"
"4585",7,"Serbia",66.5121951568324,70.7094703030846,"SRB"
"4586",8,"Serbia",65.5183813662994,69.7143213055261,"SRB"
"4587",9,"Serbia",64.5241802562521,68.7187902799831,"SRB"
"4588",10,"Serbia",63.5296265567335,67.7228243097701,"SRB"
"4589",11,"Serbia",62.5359039040392,66.7271046627848,"SRB"
"4590",12,"Serbia",61.5422206683267,65.7313087352351,"SRB"
"4591",13,"Serbia",60.5491757251837,64.7357853422169,"SRB"
"4592",14,"Serbia",59.557229836752,63.7407121104085,"SRB"
"4593",15,"Serbia",58.5677733326318,62.7467871792267,"SRB"
"4594",16,"Serbia",57.5817157809877,61.7543804592623,"SRB"
"4595",17,"Serbia",56.5978431770773,60.7625331136332,"SRB"
"4596",18,"Serbia",55.6163000909069,59.7710410593816,"SRB"
"4597",19,"Serbia",54.6371640274172,58.7797091172036,"SRB"
"4598",20,"Serbia",53.660504062652,57.7883510048013,"SRB"
"4599",21,"Serbia",52.6862734739194,56.796847141331,"SRB"
"4600",22,"Serbia",51.7141592641702,55.8054247604699,"SRB"
"4601",23,"Serbia",50.7437566929986,54.8144667040759,"SRB"
"4602",24,"Serbia",49.7746276666199,53.8242802502407,"SRB"
"4603",25,"Serbia",48.8063543143181,52.8352087976266,"SRB"
"4604",26,"Serbia",47.8387343952221,51.8474694105299,"SRB"
"4605",27,"Serbia",46.8719096285948,50.8610051328696,"SRB"
"4606",28,"Serbia",45.9061041785409,49.8758099935777,"SRB"
"4607",29,"Serbia",44.941571071408,48.8918252694892,"SRB"
"4608",30,"Serbia",43.9785434341109,47.9089433996791,"SRB"
"4609",31,"Serbia",43.0171464715664,46.9272036642752,"SRB"
"4610",32,"Serbia",42.057362047719,45.9467804717319,"SRB"
"4611",33,"Serbia",41.0991243791031,44.967925717562,"SRB"
"4612",34,"Serbia",40.1423201124123,43.9908260480204,"SRB"
"4613",35,"Serbia",39.186875502216,43.0157389562697,"SRB"
"4614",36,"Serbia",38.2328242798217,42.0427698157139,"SRB"
"4615",37,"Serbia",37.2806007664142,41.0719677613403,"SRB"
"4616",38,"Serbia",36.3307157590922,40.1032884671523,"SRB"
"4617",39,"Serbia",35.3836356479913,39.1366821867316,"SRB"
"4618",40,"Serbia",34.4397828605374,38.1721329670668,"SRB"
"4619",41,"Serbia",33.4997132784654,37.2097695901131,"SRB"
"4620",42,"Serbia",32.5645242266175,36.2505061103367,"SRB"
"4621",43,"Serbia",31.6353835747565,35.2953332423831,"SRB"
"4622",44,"Serbia",30.7133530732217,34.3451683392088,"SRB"
"4623",45,"Serbia",29.799392963831,33.4008461430922,"SRB"
"4624",46,"Serbia",28.8943945396047,32.4630164120238,"SRB"
"4625",47,"Serbia",27.999175287728,31.5318243435656,"SRB"
"4626",48,"Serbia",27.1144908360352,30.6072811327813,"SRB"
"4627",49,"Serbia",26.2410136033458,29.6893721650751,"SRB"
"4628",50,"Serbia",25.3793397650313,28.7780575632246,"SRB"
"4629",51,"Serbia",24.5300345982224,27.8733645261277,"SRB"
"4630",52,"Serbia",23.6936856038977,26.9756237958129,"SRB"
"4631",53,"Serbia",22.870854777737,26.0851966881629,"SRB"
"4632",54,"Serbia",22.0620494301247,25.2023837313175,"SRB"
"4633",55,"Serbia",21.2677320172214,24.3274269604865,"SRB"
"4634",56,"Serbia",20.4882651802592,23.4603181568102,"SRB"
"4635",57,"Serbia",19.723760251591,22.600256586246,"SRB"
"4636",58,"Serbia",18.9742677098424,21.7462778179527,"SRB"
"4637",59,"Serbia",18.2398504301324,20.8974470847744,"SRB"
"4638",60,"Serbia",17.5205917080799,20.0528550926027,"SRB"
"4639",61,"Serbia",16.8161821598685,19.2127698156805,"SRB"
"4640",62,"Serbia",16.1247192192759,18.3818548692648,"SRB"
"4641",63,"Serbia",15.4439875583796,17.5654133200443,"SRB"
"4642",64,"Serbia",14.7718498392743,16.7682758936518,"SRB"
"4643",65,"Serbia",14.1062213508403,15.9948965338237,"SRB"
"4644",66,"Serbia",13.4455491198037,15.2478052890723,"SRB"
"4645",67,"Serbia",12.7902690819962,14.5230004720234,"SRB"
"4646",68,"Serbia",12.1412603989658,13.815221727764,"SRB"
"4647",69,"Serbia",11.4993646333413,13.1195101184064,"SRB"
"4648",70,"Serbia",10.865398226795,12.4311152011087,"SRB"
"4649",71,"Serbia",10.2404443759846,11.7471356096204,"SRB"
"4650",72,"Serbia",9.62669051776211,11.0713523983797,"SRB"
"4651",73,"Serbia",9.02667374453865,10.4089924013024,"SRB"
"4652",74,"Serbia",8.44312828980925,9.76517172579243,"SRB"
"4653",75,"Serbia",7.87915120058876,9.14509687913263,"SRB"
"4654",76,"Serbia",7.33768299398828,8.55306150763031,"SRB"
"4655",77,"Serbia",6.8194840790214,7.98892430780936,"SRB"
"4656",78,"Serbia",6.3254568563565,7.45207376002355,"SRB"
"4657",79,"Serbia",5.85764017500134,6.94278319490789,"SRB"
"4658",80,"Serbia",5.41971866168426,6.46243617666672,"SRB"
"4659",81,"Serbia",5.01586017536561,6.01264630170457,"SRB"
"4660",82,"Serbia",4.64482255599918,5.59156647335256,"SRB"
"4661",83,"Serbia",4.30413237341669,5.19687516335599,"SRB"
"4662",84,"Serbia",3.99094560085388,4.82662727681868,"SRB"
"4663",85,"Serbia",3.70058402855916,4.47893516771276,"SRB"
"4664",86,"Serbia",3.42681620139655,4.15210608787081,"SRB"
"4665",87,"Serbia",3.17020000313476,3.84630075332794,"SRB"
"4666",88,"Serbia",2.93345670613467,3.56208156525084,"SRB"
"4667",89,"Serbia",2.71851127105218,3.29915224560012,"SRB"
"4668",90,"Serbia",2.52358132808398,3.0544670994092,"SRB"
"4669",91,"Serbia",2.34099829725916,2.8218697276443,"SRB"
"4670",92,"Serbia",2.17014622574731,2.60226183268524,"SRB"
"4671",93,"Serbia",2.01361187834781,2.39943345935799,"SRB"
"4672",94,"Serbia",1.87491595224771,2.2171627289829,"SRB"
"4673",95,"Serbia",1.76014915314527,2.05639915482623,"SRB"
"4674",96,"Serbia",1.67965689332552,1.91140014740835,"SRB"
"4675",97,"Serbia",1.63456633390445,1.77870351982282,"SRB"
"4676",98,"Serbia",1.60312096250657,1.65376046329798,"SRB"
"4677",99,"Serbia",1.53079885176417,1.53199892947071,"SRB"
"4678",100,"Serbia",1.38903604639871,1.43214845519206,"SRB"
"4679",101,"Serbia",1.30545219368966,1.33442719662478,"SRB"
"4680",102,"Serbia",1.22853011489421,1.24533002347874,"SRB"
"4681",103,"Serbia",1.15686491520152,1.16333460972512,"SRB"
"4682",104,"Serbia",1.08833446712241,1.08626066568383,"SRB"
"4683",105,"Serbia",1.01929464474287,1.01049014071577,"SRB"
"4684",106,"Serbia",0.945261924974117,0.932242046140137,"SRB"
"4685",107,"Serbia",0.852548422778724,0.837775484309299,"SRB"
"4686",108,"Serbia",0.714565295793457,0.701261210613548,"SRB"
"4687",109,"Serbia",0.473434033,0.465494203,"SRB"
"4688",1,"Slovakia",72.9940184174353,79.4336489333006,"SVK"
"4689",2,"Slovakia",72.025638518914,78.464083677349,"SVK"
"4690",3,"Slovakia",71.044802436362,77.4808000877677,"SVK"
"4691",4,"Slovakia",70.0598671281932,76.4933540111175,"SVK"
"4692",5,"Slovakia",69.0724100895993,75.5038350365175,"SVK"
"4693",6,"Slovakia",68.0809761306395,74.5150112581837,"SVK"
"4694",7,"Slovakia",67.0887382467996,73.5247740035782,"SVK"
"4695",8,"Slovakia",66.0961188198698,72.5330832419845,"SVK"
"4696",9,"Slovakia",65.102993531197,71.5407000154862,"SVK"
"4697",10,"Slovakia",64.109452388874,70.547532804869,"SVK"
"4698",11,"Slovakia",63.1161845882558,69.5543060182468,"SVK"
"4699",12,"Slovakia",62.1229387427012,68.5609560456447,"SVK"
"4700",13,"Slovakia",61.1303322522393,67.5680185515555,"SVK"
"4701",14,"Slovakia",60.1388916970769,66.5757221838845,"SVK"
"4702",15,"Slovakia",59.1500194506752,65.5849774957564,"SVK"
"4703",16,"Slovakia",58.1670595638296,64.5957351963286,"SVK"
"4704",17,"Slovakia",57.1870759179454,63.6075583795121,"SVK"
"4705",18,"Slovakia",56.2103033010856,62.6204097022719,"SVK"
"4706",19,"Slovakia",55.2369033563732,61.6343771683805,"SVK"
"4707",20,"Slovakia",54.2669685872847,60.6495429559476,"SVK"
"4708",21,"Slovakia",53.3004176445537,59.6658013907204,"SVK"
"4709",22,"Slovakia",52.3363663554773,58.682691592441,"SVK"
"4710",23,"Slovakia",51.3737088098587,57.6996557929652,"SVK"
"4711",24,"Slovakia",50.4114448103495,56.7162780810525,"SVK"
"4712",25,"Slovakia",49.4485244758393,55.7319928430701,"SVK"
"4713",26,"Slovakia",48.484351146069,54.7465984518644,"SVK"
"4714",27,"Slovakia",47.5191879229977,53.7608362692945,"SVK"
"4715",28,"Slovakia",46.5536167415186,52.7755169854315,"SVK"
"4716",29,"Slovakia",45.5881851749184,51.7915128138141,"SVK"
"4717",30,"Slovakia",44.6233607860844,50.8095943622465,"SVK"
"4718",31,"Slovakia",43.6596690970604,49.8302822871374,"SVK"
"4719",32,"Slovakia",42.6975111417091,48.8532147659297,"SVK"
"4720",33,"Slovakia",41.7373851220279,47.8778492019275,"SVK"
"4721",34,"Slovakia",40.7796439367009,46.9036213502139,"SVK"
