"","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84"
"NLD",79.2127711255127,74.7127711255127,69.7127711255127,64.7127711255127,59.7127711255127,54.7127711255127,49.7638603617966,44.9299013807781,40.1452063768439,35.3730616481053,30.7201071507211,26.2371272136204,21.9287431609483,17.865233795909,14.0658510231297,10.6162589748104,7.75314827631059
"NOR",79.8103941332088,75.3103941332088,70.3103941332088,65.3103941332088,60.3738162227437,55.523943402369,50.6609699284775,45.7867063179815,40.9406173315926,36.1741702220958,31.4992592923921,26.9576465502985,22.58378901657,18.4243388659192,14.5350533078288,11.0156880771009,8.04337480049317
"POL",75.1904155002858,70.6904155002858,65.6904155002858,60.753725100584,55.9042316662258,51.0417717738389,46.1666014125468,41.3635103057212,36.6994257638703,32.1497891891564,27.7984364474992,23.6867534715986,19.900304591654,16.3868137468604,13.0920835731435,10.0875842989162,7.48660935552034
"PRT",79.0190102561938,74.5190102561938,69.5190102561938,64.5190102561938,59.5804258615975,54.725521864793,49.8560408853988,45.0203821720946,40.2760378888209,35.5961839828729,31.0527073005277,26.7084598968734,22.4735190286031,18.3711329885727,14.4570173750724,10.8733605201801,7.94218976344664
"ROU",73.0208175345449,68.5208175345449,63.5208175345449,58.5820292338959,53.7276470669697,48.8609700523012,44.0255890459245,39.2774858243155,34.5970324193584,30.0553329336309,25.7915799392785,21.8462632987107,18.1742715601519,14.7326300541555,11.6054635396028,8.8682721969807,6.67891955400977
"RUS",69.6380266330231,65.1380266330231,60.1380266330231,55.1955695836627,50.4346661992714,45.8491632509151,41.4629108131073,37.2596395557968,33.0333780116931,28.8669904839721,24.7903666598052,20.9709989282871,17.494546560664,14.2673152748568,11.2311003852788,8.5446417963526,6.45422741895281
"SRB",73.8104951492471,69.3104951492471,64.3104951492471,59.3104951492471,54.3104951492471,49.3618480048604,44.4825689920131,39.6306157212311,34.8555938855652,30.1978945674091,25.759037614221,21.5777576269834,17.6597482734869,13.9235345072269,10.5577454386174,7.92346314377911,5.93361092906787
"SVK",75.0842163356213,70.5842163356213,65.5842163356213,60.5842163356213,55.642156583806,50.7793928205063,45.9041976547276,41.101325262759,36.3985709022751,31.7916103542089,27.4051616801235,23.2161154852687,19.3480841988746,15.7559059285573,12.3887789668923,9.3979769726257,7.00100077142113
"SVN",78.1395810895249,73.6395810895249,68.6395810895249,63.6395810895249,58.7009781437046,53.8474684146568,48.9825757526109,44.1487682466605,39.4024092691892,34.7246617777176,30.1521867035806,25.7879326765203,21.6539122463692,17.748522570739,14.0865183915078,10.6944087816364,7.81078137528822
"SWE",79.7873567301244,75.2873567301244,70.2873567301244,65.2873567301244,60.3508115361236,55.5015468514503,50.6391586359328,45.7640118374689,40.91708558744,36.1499716216503,31.4736627953126,26.9020536715018,22.4848236629191,18.3195269554013,14.4537712985777,10.9765149553234,7.99280826625149
"TJK",70.3524361673526,66.1865361510301,61.2878795227435,56.3466554264071,51.4855390413517,46.6582005152215,41.9254454544225,37.227058150538,32.5602871776648,28.0316573862642,23.6301951514708,19.4375687094623,15.5466663533069,12.2535039715101,9.61532841047361,7.34266818765678,5.9269179695879
"TKM",68.0862024377715,63.9251546303609,58.9251546303609,54.0352260281379,49.2961945466351,44.5824342776821,39.911120215663,35.3141122422836,30.9231855095978,26.670685373424,22.6062565319512,18.8454117341054,15.4144391714133,12.2912126684098,9.75848605655063,7.89809401094981,6.1640600943613
"TUR",74.1507582906772,69.6507582906772,64.6507582906772,59.7723038383329,55.1194442189121,50.5221653262339,45.8895048110478,41.2641685793488,36.6608391631243,32.0775957824445,27.5918592552653,23.2078111795343,19.015277182348,15.0779759989974,11.4941476949968,8.46686047907357,6.15885161307871
"UKR",70.5123746622439,66.0123746622439,61.0123746622439,56.071110214119,51.2101650248086,46.4308838363279,41.8098230259263,37.3242716554341,33.0089865941687,28.7876159196608,24.7001630543903,20.8009454917,17.1848167507445,13.8332180507486,10.8404320916923,8.33959148196559,6.23703080815402
"UZB",70.999919683353,66.6764354181379,61.6764354181379,56.7920204019035,52.0668143408663,47.3179112057194,42.5888943522665,37.8943464239725,33.2322162613544,28.7126078096578,24.3743925985108,20.2328109779121,16.4777182873688,13.2191433717582,10.4595290021897,8.43982362808261,6.94262471247584
